127.0.0.1, 2017-05-13 16:16:35, GET, /, HTTP/1.1, 303, 0.006000
127.0.0.1, 2017-05-13 16:16:36, GET, /welcome/default/index, HTTP/1.1, 200, 1.151000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/css/bootstrap.min.css, HTTP/1.1, 200, 0.000000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/css/web2py-bootstrap3.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/js/modernizr-2.8.3.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/js/jquery.js, HTTP/1.1, 200, 0.005000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/js/calendar.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/js/web2py.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/css/calendar.css, HTTP/1.1, 200, 0.006000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/js/bootstrap.min.js, HTTP/1.1, 200, 0.012000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/js/web2py-bootstrap3.js, HTTP/1.1, 200, 0.004000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/js/share.js, HTTP/1.1, 200, 0.003000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/images/background.jpg, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:16:37, GET, /welcome/static/fonts/glyphicons-halflings-regular.woff2, HTTP/1.1, 200, 0.009000
127.0.0.1, 2017-05-13 16:16:38, GET, /welcome/static/images/gplus-32.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:16:38, GET, /welcome/static/images/favicon.ico, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:01, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 303, 0.163000
127.0.0.1, 2017-05-13 16:17:01, GET, /admin/default/index, HTTP/1.1, 200, 0.132000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/js/jquery.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/css/calendar.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/js/calendar.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/js/web2py.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/plugin_multiselect/jquery.multi-select.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/plugin_multiselect/multi-select.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/plugin_multiselect/start.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/plugin_statebutton/js/bootstrap-switch.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/plugin_statebutton/css/bootstrap-switch.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/css/bootstrap.min.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/css/bootstrap_essentials.css, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/css/bootstrap-responsive.min.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/js/bootstrap.min.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /admin/static/_2.14.6/images/questions.png, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:02, GET, /favicon.ico, HTTP/1.1, 400, 0.000000
127.0.0.1, 2017-05-13 16:17:07, POST, /admin/default/index, HTTP/1.1, 303, 0.073000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/default/edit/welcome/models/db.py, HTTP/1.1, 200, 0.349000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/theme/web2py.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/lib/codemirror.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/edit/closetag.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/addon/edit/matchbrackets.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/mode/python/python.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/mode/xml/xml.js, HTTP/1.1, 200, 0.001000
127.0.0.1, 2017-05-13 16:17:08, GET, /admin/static/_2.14.6/codemirror/mode/css/css.js, HTTP/1.1, 200, 0.003000
